act,scene,num,character,line
1,0,1,ACT,"ACT I"
1,1,2,SCENE SETTING,"SCENE I. A hall in the Duke’s palace."
1,1,3,STAGE DIRECTION," Enter Duke, Egeon, Jailer, Officers and other Attendants."
1,1,4,EGEON,"Proceed, Solinus, to procure my fall,"
1,1,5,EGEON,"And by the doom of death end woes and all."
1,1,6,DUKE,"Merchant of Syracusa, plead no more."
1,1,7,DUKE,"I am not partial to infringe our laws."
1,1,8,DUKE,"The enmity and discord which of late"
1,1,9,DUKE,"Sprung from the rancorous outrage of your Duke"
1,1,10,DUKE,"To merchants, our well-dealing countrymen,"
1,1,11,DUKE,"Who, wanting guilders to redeem their lives,"
1,1,12,DUKE,"Have seal’d his rigorous statutes with their bloods,"
1,1,13,DUKE,"Excludes all pity from our threat’ning looks."
1,1,14,DUKE,"For since the mortal and intestine jars"
1,1,15,DUKE,"’Twixt thy seditious countrymen and us,"
1,1,16,DUKE,"It hath in solemn synods been decreed,"
1,1,17,DUKE,"Both by the Syracusians and ourselves,"
1,1,18,DUKE,"To admit no traffic to our adverse towns;"
1,1,19,DUKE,"Nay more, if any born at Ephesus"
1,1,20,DUKE,"Be seen at Syracusian marts and fairs;"
1,1,21,DUKE,"Again, if any Syracusian born"
1,1,22,DUKE,"Come to the bay of Ephesus, he dies,"
1,1,23,DUKE,"His goods confiscate to the Duke’s dispose,"
1,1,24,DUKE,"Unless a thousand marks be levied"
1,1,25,DUKE,"To quit the penalty and to ransom him."
1,1,26,DUKE,"Thy substance, valued at the highest rate,"
1,1,27,DUKE,"Cannot amount unto a hundred marks;"
1,1,28,DUKE,"Therefore by law thou art condemn’d to die."
1,1,29,EGEON,"Yet this my comfort; when your words are done,"
1,1,30,EGEON,"My woes end likewise with the evening sun."
1,1,31,DUKE,"Well, Syracusian, say in brief the cause"
1,1,32,DUKE,"Why thou departedst from thy native home,"
1,1,33,DUKE,"And for what cause thou cam’st to Ephesus."
1,1,34,EGEON,"A heavier task could not have been impos’d"
1,1,35,EGEON,"Than I to speak my griefs unspeakable;"
1,1,36,EGEON,"Yet, that the world may witness that my end"
1,1,37,EGEON,"Was wrought by nature, not by vile offence,"
1,1,38,EGEON,"I’ll utter what my sorrow gives me leave."
1,1,39,EGEON,"In Syracusa was I born, and wed"
1,1,40,EGEON,"Unto a woman happy but for me,"
1,1,41,EGEON,"And by me, had not our hap been bad."
1,1,42,EGEON,"With her I liv’d in joy; our wealth increas’d"
1,1,43,EGEON,"By prosperous voyages I often made"
1,1,44,EGEON,"To Epidamnum, till my factor’s death,"
1,1,45,EGEON,"And the great care of goods at random left,"
1,1,46,EGEON,"Drew me from kind embracements of my spouse;"
1,1,47,EGEON,"From whom my absence was not six months old"
1,1,48,EGEON,"Before herself (almost at fainting under"
1,1,49,EGEON,"The pleasing punishment that women bear)"
1,1,50,EGEON,"Had made provision for her following me,"
1,1,51,EGEON,"And soon and safe arrived where I was."
1,1,52,EGEON,"There had she not been long but she became"
1,1,53,EGEON,"A joyful mother of two goodly sons,"
1,1,54,EGEON,"And, which was strange, the one so like the other"
1,1,55,EGEON,"As could not be distinguish’d but by names."
1,1,56,EGEON,"That very hour, and in the self-same inn,"
1,1,57,EGEON,"A mean woman was delivered"
1,1,58,EGEON,"Of such a burden, male twins, both alike."
1,1,59,EGEON,"Those, for their parents were exceeding poor,"
1,1,60,EGEON,"I bought, and brought up to attend my sons."
1,1,61,EGEON,"My wife, not meanly proud of two such boys,"
1,1,62,EGEON,"Made daily motions for our home return."
1,1,63,EGEON,"Unwilling I agreed; alas, too soon"
1,1,64,EGEON,"We came aboard."
1,1,65,EGEON,"A league from Epidamnum had we sail’d"
1,1,66,EGEON,"Before the always-wind-obeying deep"
1,1,67,EGEON,"Gave any tragic instance of our harm;"
1,1,68,EGEON,"But longer did we not retain much hope;"
1,1,69,EGEON,"For what obscured light the heavens did grant"
1,1,70,EGEON,"Did but convey unto our fearful minds"
1,1,71,EGEON,"A doubtful warrant of immediate death,"
1,1,72,EGEON,"Which though myself would gladly have embrac’d,"
1,1,73,EGEON,"Yet the incessant weepings of my wife,"
1,1,74,EGEON,"Weeping before for what she saw must come,"
1,1,75,EGEON,"And piteous plainings of the pretty babes,"
1,1,76,EGEON,"That mourn’d for fashion, ignorant what to fear,"
1,1,77,EGEON,"Forc’d me to seek delays for them and me."
1,1,78,EGEON,"And this it was (for other means was none)."
1,1,79,EGEON,"The sailors sought for safety by our boat,"
1,1,80,EGEON,"And left the ship, then sinking-ripe, to us."
1,1,81,EGEON,"My wife, more careful for the latter-born,"
1,1,82,EGEON,"Had fast’ned him unto a small spare mast,"
1,1,83,EGEON,"Such as sea-faring men provide for storms."
1,1,84,EGEON,"To him one of the other twins was bound,"
1,1,85,EGEON,"Whilst I had been like heedful of the other."
1,1,86,EGEON,"The children thus dispos’d, my wife and I,"
1,1,87,EGEON,"Fixing our eyes on whom our care was fix’d,"
1,1,88,EGEON,"Fast’ned ourselves at either end the mast,"
1,1,89,EGEON,"And, floating straight, obedient to the stream,"
1,1,90,EGEON,"Was carried towards Corinth, as we thought."
1,1,91,EGEON,"At length the sun, gazing upon the earth,"
1,1,92,EGEON,"Dispers’d those vapours that offended us,"
1,1,93,EGEON,"And by the benefit of his wished light"
1,1,94,EGEON,"The seas wax’d calm, and we discovered"
1,1,95,EGEON,"Two ships from far, making amain to us,"
1,1,96,EGEON,"Of Corinth that, of Epidaurus this."
1,1,97,EGEON,"But ere they came—O, let me say no more!"
1,1,98,EGEON,"Gather the sequel by that went before."
1,1,99,DUKE,"Nay, forward, old man, do not break off so,"
1,1,100,DUKE,"For we may pity, though not pardon thee."
1,1,101,EGEON,"O, had the gods done so, I had not now"
1,1,102,EGEON,"Worthily term’d them merciless to us."
1,1,103,EGEON,"For, ere the ships could meet by twice five leagues,"
1,1,104,EGEON,"We were encountered by a mighty rock,"
