act,scene,num,character,line
1,0,0,ACT,"ACT I"
1,1,1,SCENE SETTING,"SCENE I. An open Place."
1,1,2,STAGE DIRECTION," Thunder and Lightning. Enter three Witches."
1,1,3,FIRST WITCH,"When shall we three meet again?"
1,1,4,FIRST WITCH,"In thunder, lightning, or in rain?"
1,1,5,SECOND WITCH,"When the hurlyburly’s done,"
1,1,6,SECOND WITCH,"When the battle’s lost and won."
1,1,7,THIRD WITCH,"That will be ere the set of sun."
1,1,8,FIRST WITCH,"Where the place?"
1,1,9,SECOND WITCH,"Upon the heath."
1,1,10,THIRD WITCH,"There to meet with Macbeth."
1,1,11,FIRST WITCH,"I come, Graymalkin!"
1,1,12,SECOND WITCH,"Paddock calls."
1,1,13,THIRD WITCH,"Anon."
1,1,14,ALL,"Fair is foul, and foul is fair:"
1,1,15,ALL,"Hover through the fog and filthy air."
1,1,16,STAGE DIRECTION," [_Exeunt._]"
1,2,17,SCENE SETTING,"SCENE II. A Camp near Forres."
1,2,18,STAGE DIRECTION," Alarum within. Enter King Duncan, Malcolm, Donalbain, Lennox, with"
1,2,19,STAGE DIRECTION," Attendants, meeting a bleeding Captain."
1,2,20,DUNCAN,"What bloody man is that? He can report,"
1,2,21,DUNCAN,"As seemeth by his plight, of the revolt"
1,2,22,DUNCAN,"The newest state."
1,2,23,MALCOLM,"This is the sergeant"
1,2,24,MALCOLM,"Who, like a good and hardy soldier, fought"
1,2,25,MALCOLM,"’Gainst my captivity.—Hail, brave friend!"
1,2,26,MALCOLM,"Say to the King the knowledge of the broil"
1,2,27,MALCOLM,"As thou didst leave it."
1,2,28,SOLDIER,"Doubtful it stood;"
1,2,29,SOLDIER,"As two spent swimmers that do cling together"
1,2,30,SOLDIER,"And choke their art. The merciless Macdonwald"
1,2,31,SOLDIER,"(Worthy to be a rebel, for to that"
1,2,32,SOLDIER,"The multiplying villainies of nature"
1,2,33,SOLDIER,"Do swarm upon him) from the Western Isles"
1,2,34,SOLDIER,"Of kerns and gallowglasses is supplied;"
1,2,35,SOLDIER,"And Fortune, on his damned quarrel smiling,"
1,2,36,SOLDIER,"Show’d like a rebel’s whore. But all’s too weak;"
1,2,37,SOLDIER,"For brave Macbeth (well he deserves that name),"
1,2,38,SOLDIER,"Disdaining Fortune, with his brandish’d steel,"
1,2,39,SOLDIER,"Which smok’d with bloody execution,"
1,2,40,SOLDIER,"Like Valour’s minion, carv’d out his passage,"
1,2,41,SOLDIER,"Till he fac’d the slave;"
1,2,42,SOLDIER,"Which ne’er shook hands, nor bade farewell to him,"
1,2,43,SOLDIER,"Till he unseam’d him from the nave to the chops,"
