act,scene,num,character,line
1,0,0,ACT,"ACT I."
1,1,1,SCENE SETTING,"SCENE I. _On a ship at sea: a tempestuous noise of thunder and lightning heard._"
1,1,2,STAGE DIRECTION," _Enter _a Ship-Master_ and _a Boatswain_._"
1,1,3,MASTER OF A SHIP,"Boatswain!"
1,1,4,BOATSWAIN,"Here, master: what cheer?"
1,1,5,MASTER OF A SHIP,"Good, speak to the mariners: fall to’t, yarely, or"
1,1,6,MASTER OF A SHIP,"we run ourselves aground: bestir, bestir."
1,1,8,STAGE DIRECTION,"  [_Exit._"
1,1,9,STAGE DIRECTION," _Enter _Mariners_._"
1,1,10,BOATSWAIN,"Heigh, my hearts! cheerly, cheerly, my hearts!"
1,1,11,BOATSWAIN,"yare, yare! Take in the topsail. Tend to the master’s"
1,1,12,BOATSWAIN,"whistle. Blow, till thou burst thy wind, if room enough!"
1,1,13,STAGE DIRECTION," _Enter ALONSO, SEBASTIAN, ANTONIO, FERDINAND, GONZALO,"
1,1,14,STAGE DIRECTION," and others._"
1,1,15,AONSO,"Good boatswain, have care. Where’s the master?"
1,1,16,AONSO,"Play the men."
1,1,17,BOATSWAIN,"I pray now, keep below."
1,1,18,ANTONIO,"Where is the master, boatswain?"
1,1,19,BOATSWAIN,"Do you not hear him? You mar our labour:"
1,1,20,BOATSWAIN,"keep your cabins: you do assist the storm."
1,1,21,GONZALO,"Nay, good, be patient."
1,1,22,BOATSWAIN,"When the sea is. Hence! What cares these"
1,1,23,BOATSWAIN,"roarers for the name of king? To cabin: silence! trouble"
1,1,24,BOATSWAIN,"us not."
1,1,25,GONZALO,"Good, yet remember whom thou hast aboard."
1,1,26,BOATSWAIN,"None that I more love than myself. You are a"
1,1,27,BOATSWAIN,"Counsellor; if you can command these elements to silence,"
1,1,28,BOATSWAIN,"and work the peace of the present, we will not hand a rope"
1,1,29,BOATSWAIN,"more; use your authority: if you cannot, give thanks you"
1,1,30,BOATSWAIN,"have lived so long, and make yourself ready in your cabin"
1,1,31,BOATSWAIN,"for the mischance of the hour, if it so hap. Cheerly, good"
1,1,32,BOATSWAIN,"hearts! Out of our way, I say."
1,1,33,STAGE DIRECTION," [_Exit._"
1,1,34,GONZALO,"I have great comfort from this fellow: methinks"
1,1,35,GONZALO,"he hath no drowning mark upon him; his complexion is"
1,1,36,GONZALO,"perfect gallows. Stand fast, good Fate, to his hanging:"
1,1,37,GONZALO,"make the rope of his destiny our cable, for our own doth"
1,1,38,GONZALO,"little advantage. If he be not born to be hanged, our case"
1,1,39,GONZALO,"is miserable."
1,1,40,STAGE DIRECTION," [_Exeunt._"
1,1,41,STAGE DIRECTION," _Re-enter Boatswain._"
1,1,42,BOATSWAIN,"Down with the topmast! yare! lower, lower!"
1,1,43,BOATSWAIN,"Bring her to try with main-course."
1,1,44,STAGE DIRECTION," [_A cry within._]"
1,1,45,BOATSWAIN,"A plague upon this howling! they are louder than the weather"
1,1,46,BOATSWAIN,"or our office."
1,1,47,STAGE DIRECTION," _Re-enter SEBASTIAN, ANTONIO, and GONZALO._"
1,1,48,BOATSWAIN,"Yet again! what do you here? Shall we give o’er, and"
1,1,49,BOATSWAIN,"drown? Have you a mind to sink?"
1,1,50,SEBASTIAN,"A pox o’ your throat, you bawling, blasphemous,"
1,1,51,SEBASTIAN,"incharitable dog!"
1,1,52,BOATSWAIN,"Work you, then."
1,1,53,ANTONIO,"Hang, cur! hang, you whoreson, insolent noise-maker."
1,1,54,ANTONIO,"We are less afraid to be drowned than thou art."
1,1,55,GONZALO,"I’ll warrant him for drowning; though the ship"
1,1,56,GONZALO,"were no stronger than a nutshell, and as leaky as an unstanched"
1,1,57,GONZALO,"wench."
1,1,58,BOATSWAIN,"Lay her a-hold, a-hold! set her two courses off"
1,1,59,BOATSWAIN,"to sea again; lay her off."
1,1,60,STAGE DIRECTION," _Enter _MARINERS_ wet._"
1,1,61,MARINERS,"All lost! to prayers, to prayers! all lost!"
1,1,62,BOATSWAIN,"What, must our mouths be cold?"
1,1,63,GONZALO,"The king and prince at prayers! let’s assist them,"
1,1,64,GONZALO,"For our case is as theirs."
1,1,65,SEBASTIAN,"I’m out of patience."
1,1,66,ANTONIO,"We are merely cheated of our lives by drunkards:"
1,1,67,ANTONIO,"This wide-chapp’d rascal,--would thou mightst lie drowning"
1,1,68,ANTONIO,"The washing of ten tides!"
1,1,69,GONZALO,"He’ll be hang’d yet,"
1,1,70,GONZALO,"Though every drop of water swear against it,"
1,1,71,GONZALO,"And gape at widest to glut him."
1,1,72,STAGE DIRECTION," [_A confused noise within:_ “Mercy on us!”--"
1,1,73,STAGE DIRECTION," “We split, we split!”-- “Farewell my wife and children!”--"
1,1,74,STAGE DIRECTION," “Farewell, brother!”-- “We split, we split, we split!”]"
1,1,75,ANTONIO,"Let’s all sink with the king."
1,1,76,SEBASTIAN,"Let’s take leave of him."
1,1,77,STAGE DIRECTION," [_Exeunt Ant. and Seb._"
1,1,78,GONZALO,"Now would I give a thousand furlongs of sea for"
1,1,79,GONZALO,"an acre of barren ground, long heath, brown furze, any"
1,1,80,GONZALO,"thing. The wills above be done! but I would fain die a"
1,1,81,GONZALO,"dry death."
1,1,82,STAGE DIRECTION," [_Exeunt._"
1,2,83,SCENE SETTING,"SCENE II. _The island. Before PROSPERO’S cell._"
1,2,84,STAGE DIRECTION," _Enter PROSPERO and MIRANDA._"
1,2,85,MIRANDA,"If by your art, my dearest father, you have"
1,2,86,MIRANDA,"Put the wild waters in this roar, allay them."
1,2,87,MIRANDA,"The sky, it seems, would pour down stinking pitch,"
1,2,88,MIRANDA,"But that the sea, mounting to the welkin’s cheek,"
1,2,89,MIRANDA,"Dashes the fire out. O, I have suffer’d"
1,2,90,MIRANDA,"With those that I saw suffer! a brave vessel,"
1,2,91,MIRANDA,"Who had, no doubt, some noble creature in her,"
1,2,92,MIRANDA,"Dash’d all to pieces. O, the cry did knock"
1,2,93,MIRANDA,"Against my very heart! Poor souls, they perish’d!"
1,2,94,MIRANDA,"Had I been any god of power, I would"
1,2,95,MIRANDA,"Have sunk the sea within the earth, or ere"
1,2,96,MIRANDA,"It should the good ship so have swallow’d and"
1,2,97,MIRANDA,"The fraughting souls within her."
1,2,98,PROSPERO,"Be collected:"
1,2,99,PROSPERO,"No more amazement: tell your piteous heart"
1,2,100,PROSPERO,"There’s no harm done."
1,2,101,MIRANDA,"O, woe the day!"
1,2,102,PROSPERO,"No harm."
1,2,103,PROSPERO,"I have done nothing but in care of thee,"
1,2,104,PROSPERO,"Of thee, my dear one, thee, my daughter, who"
1,2,105,PROSPERO,"Art ignorant of what thou art, nought knowing"
1,2,106,PROSPERO,"Of whence I am, nor that I am more better"
1,2,107,PROSPERO,"Than Prospero, master of a full poor cell,"
1,2,108,PROSPERO,"And thy no greater father."
1,2,109,MIRANDA,"More to know"
1,2,110,MIRANDA,"Did never meddle with my thoughts."
1,2,111,PROSPERO,"’Tis time"
1,2,112,PROSPERO,"I should inform thee farther. Lend thy hand,"
1,2,113,PROSPERO,"And pluck my magic garment from me. --So:"
1,2,114,STAGE DIRECTION," [_Lays down his mantle._"
1,2,115,PROSPERO,"Lie there, my art. Wipe thou thine eyes; have comfort."
1,2,116,PROSPERO,"The direful spectacle of the wreck, which touch’d"
1,2,117,PROSPERO,"The very virtue of compassion in thee,"
1,2,118,PROSPERO,"I have with such provision in mine art"
1,2,119,PROSPERO,"So safely order’d, that there is no soul,"
1,2,120,PROSPERO,"No, not so much perdition as an hair"
1,2,121,PROSPERO,"Betid to any creature in the vessel"
1,2,122,PROSPERO,"Which thou heard’st cry, which thou saw’st sink. Sit down;"
1,2,123,PROSPERO,"For thou must now know farther."
1,2,124,MIRANDA,"You have often"
1,2,125,MIRANDA,"Begun to tell me what I am; but stopp’d,"
1,2,126,MIRANDA,"And left me to a bootless inquisition,"
1,2,127,MIRANDA,"Concluding “Stay: not yet.”"
1,2,128,PROSPERO,"The hour’s now come;"
1,2,129,PROSPERO,"The very minute bids thee ope thine ear;"
1,2,130,PROSPERO,"Obey, and be attentive. Canst thou remember"
1,2,131,PROSPERO,"A time before we came unto this cell?"
1,2,132,PROSPERO,"I do not think thou canst, for then thou wast not"
1,2,133,PROSPERO,"Out three years old."
1,2,134,MIRANDA,"Certainly, sir, I can."
1,2,135,PROSPERO,"By what? by any other house or person?"
1,2,136,PROSPERO,"Of any thing the image tell me that"
1,2,137,PROSPERO,"Hath kept with thy remembrance."
1,2,138,MIRANDA,"’Tis far off,"
1,2,139,MIRANDA,"And rather like a dream than an assurance"
1,2,140,MIRANDA,"That my remembrance warrants. Had I not"
1,2,141,MIRANDA,"Four or five women once that tended me?"
1,2,142,PROSPERO,"Thou hadst, and more, Miranda. But how is it"
1,2,143,PROSPERO,"That this lives in thy mind? What seest thou else"
1,2,144,PROSPERO,"In the dark backward and abysm of time?"
1,2,145,PROSPERO,"If thou remember’st ought ere thou camest here,"
1,2,146,PROSPERO,"How thou camest here thou mayst."
1,2,147,MIRANDA,"But that I do not."
1,2,148,PROSPERO,"Twelve year since, Miranda, twelve year since,"
1,2,149,PROSPERO,"Thy father was the Duke of Milan, and"
1,2,150,PROSPERO,"A prince of power."
1,2,151,MIRANDA,"Sir, are not you my father?"
1,2,152,PROSPERO,"Thy mother was a piece of virtue, and"
1,2,153,PROSPERO,"She said thou wast my daughter; and thy father"
1,2,154,PROSPERO,"Was Duke of Milan; and his only heir"
1,2,155,PROSPERO,"And princess, no worse issued."
1,2,156,MIRANDA,"O the heavens!"
1,2,157,MIRANDA,"What foul play had we, that we came from thence?"
1,2,158,MIRANDA,"Or blessed was’t we did?"
1,2,159,PROSPERO,"Both, both, my girl:"
1,2,160,PROSPERO,"By foul play, as thou say’st, were we heaved thence;"
1,2,161,PROSPERO,"But blessedly holp hither."
1,2,162,MIRANDA,"O, my heart bleeds"
1,2,163,MIRANDA,"To think o’ the teen that I have turn’d you to."
1,2,164,MIRANDA,"Which is from my remembrance! Please you, farther."
1,2,165,PROSPERO,"My brother, and thy uncle, call’d Antonio,--"
1,2,166,PROSPERO,"I pray thee, mark me,--that a brother should"
1,2,167,PROSPERO,"Be so perfidious!--he whom, next thyself,"
1,2,168,PROSPERO,"Of all the world I loved, and to him put"
1,2,169,PROSPERO,"The manage of my state; as, at that time,"
1,2,170,PROSPERO,"Through all the signories it was the first,"
1,2,171,PROSPERO,"And Prospero the prime duke, being so reputed"
1,2,172,PROSPERO,"In dignity, and for the liberal arts"
1,2,173,PROSPERO,"Without a parallel; those being all my study,"
1,2,174,PROSPERO,"The government I cast upon my brother,"
1,2,175,PROSPERO,"And to my state grew stranger, being transported"
1,2,176,PROSPERO,"And rapt in secret studies. Thy false uncle--"
1,2,177,PROSPERO,"Dost thou attend me?"
1,2,178,MIRANDA,"Sir, most heedfully."
1,2,179,PROSPERO,"Being once perfected how to grant suits,"
1,2,180,PROSPERO,"How to deny them, whom to advance, and whom"
1,2,181,PROSPERO,"To trash for over-topping, new created"
1,2,182,PROSPERO,"The creatures that were mine, I say, or changed ’em,"
1,2,183,PROSPERO,"Or else new form’d ’em; having both the key"
1,2,184,PROSPERO,"Of officer and office, set all hearts i’ the state"
1,2,185,PROSPERO,"To what tune pleased his ear; that now he was"
1,2,186,PROSPERO,"The ivy which had hid my princely trunk,"
1,2,187,PROSPERO,"And suck’d my verdure out on’t. Thou attend’st not."
1,2,188,MIRANDA,"O, good sir, I do."
1,2,189,PROSPERO,"I pray thee, mark me."
1,2,190,PROSPERO,"I, thus neglecting worldly ends, all dedicated"
